iter	RMSE
0	1.515475887
1	1.371627623
2	1.259043358
3	1.172477839
4	1.103341739
5	1.056567468
6	1.021007529
7	0.9854002274
8	0.9526978065
9	0.9382444902
10	0.9139023854
11	0.8974481047
12	0.8828609929
13	0.8684334629
14	0.8556814958
15	0.844266154
16	0.8357965791
17	0.8275127458
18	0.8209614688
19	0.8151541718
20	0.8052604719
21	0.7990891239
22	0.7932925237
23	0.7886214498
24	0.7838295139
25	0.7783534535
26	0.7736912384
27	0.7671313672
28	0.7639892624
29	0.7608620689
30	0.7526997513
31	0.7493384744
32	0.7453980238
33	0.7426766188
34	0.740055833
35	0.7375040694
36	0.734902079
37	0.7305886629
38	0.727088761
39	0.7250665113
40	0.7229894342
41	0.7211033854
42	0.7193211647
43	0.7154680101
44	0.7128571327
45	0.7112578447
46	0.7071927523
47	0.7050703578
48	0.7027231197
49	0.7005275232
50	0.6982116768
51	0.6939387963
52	0.6915030614
53	0.6900959908
54	0.6875993069
55	0.6854203
56	0.6785876512
57	0.6771530531
58	0.6754653364
59	0.6741043418
60	0.6720777725
61	0.6704697941
62	0.6673715177
63	0.6648800982
64	0.6620831575
65	0.6611559852
66	0.6595116853
67	0.6587369176
68	0.6570306158
69	0.6556301633
70	0.6529656671
71	0.6508807515
72	0.6495171015
73	0.6483100334
74	0.647053198
75	0.6461964291
76	0.6445168348
77	0.6420971428
78	0.6408137282
79	0.6396952848
80	0.6369438746
81	0.6351362965
82	0.6315523702
83	0.6308242103
84	0.6299463075
85	0.6281861774
86	0.6267233108
87	0.6248548358
88	0.6242702882
89	0.622732917
90	0.6212961247
91	0.619925726
92	0.6188637804
93	0.6175590887
94	0.6159939563
95	0.6153160054
96	0.6148256262
97	0.6134431961
98	0.6119424228
99	0.6110717314
100	0.6102305898
101	0.6040674621
102	0.6034413843
103	0.6015454208
104	0.6005793841
105	0.5997920995
106	0.5982875898
107	0.5973825117
9
108	0.6000615224
109	0.5996521442
110	0.5977552293
111	0.5968698223
112	0.5953850844
113	0.5943264915
114	0.5937515752
115	0.5926084271
116	0.591193849
117	0.5905885698
118	0.5896407724
119	0.5890744435
120	0.5887579162
121	0.5869380186
122	0.5861740832
123	0.5851012835
124	0.5840808326
125	0.583195762
126	0.5816144553
127	0.5811845191
128	0.5806247154
9	0.558269669
130	0.5577275616
131	0.556721452
132	0.5558089374
133	0.5548278305
134	0.5542113564
135	0.5535144728
136	0.5522640433
	0.5631085643
138	0.5616673317
139	0.560590018
140	0.5595287299
141	0.5589312179
142	0.5578918273
143	0.5569819552
144	0.5563545079
648
145	0.5665046287
146	0.565666744
147	0.5651192437
148	0.5646319632
1
149	0.5703268828
150	0.5698874567
151	0.5695230988
152	0.5690533992
153	0.5679564006
154	0.5671929553
155	0.5668646831
156	0.5660252526
157	0.5656626777
158	0.5651845881
159	0.564681664
160	0.5639362505
161	0.5622444616
162	0.5617329438
163	0.5610487709
164	0.5606331069
165	0.5594814511
166	0.5586693345
167	0.5580979899
168	0.5573992917
169	0.5568678833
170	0.556430043
171	0.5561845143
172	0.5554639112
173	0.5547760978
174	0.5544602921
175	0.5536641773
176	0.5483774986
177	0.5480244595
178	0.5477441089
179	0.5471311643
180	0.5463642387
181	0.5459399621
182	0.5457159586
183	0.5454730264
